cpf,gender,SeniorCitizen,Partner,Dependents
43815614902,Male,0,Yes,Yes
78403690061,Female,0,No,No
34324451052,Male,0,Yes,No
76226838841,Female,0,No,No
51606071530,Male,0,Yes,No
96966416053,Male,0,Yes,Yes
52975161379,Male,1,No,No
69681645316,Male,1,Yes,No
52181883521,Male,0,Yes,No
52312432994,Female,1,Yes,No
21277997985,Female,1,Yes,No
95527177444,Female,0,Yes,No
49058147746,Female,0,Yes,Yes
541199870,Female,0,Yes,Yes
67980793501,Female,0,Yes,No
97820715103,Female,1,No,No
82037788959,Female,0,Yes,No
25546659076,Male,1,No,No
51518644910,Male,1,No,No
25192546290,Male,1,Yes,Yes
91486528147,Male,0,Yes,No
68505423542,Female,0,Yes,No
73322141802,Female,0,Yes,No
88059296205,Male,0,Yes,No
22927065390,Female,1,Yes,Yes
79473834721,Male,0,Yes,Yes
35977468881,Male,1,Yes,No
62392407533,Female,0,Yes,No
81814124780,Female,0,No,No
82613750642,Female,0,No,No
6853615352,Female,1,No,No
5152204770,Female,0,Yes,No
27790104365,Female,1,No,No
28986143437,Female,0,Yes,Yes
10369711718,Female,0,Yes,No
98089324606,Male,1,Yes,No
9539621801,Female,1,No,No
51888880686,Female,0,No,No
70654051500,Male,1,No,No
31952058589,Female,0,Yes,No
27722170439,Male,0,Yes,Yes
30305486861,Female,0,Yes,Yes
74034505400,Female,1,No,No
15667652773,Female,0,No,No
75841616935,Female,0,Yes,Yes
28451154409,Male,0,Yes,Yes
79627570516,Female,1,Yes,Yes
96401658240,Female,0,Yes,No
2970213540,Female,0,Yes,No
56909275543,Male,0,Yes,No
71928565417,Female,1,No,No
31027868126,Male,0,Yes,No
44739473194,Male,0,Yes,Yes
21727155149,Male,0,No,No
88442258329,Male,0,No,No
13237058998,Male,0,Yes,Yes
57829114684,Male,0,Yes,No
78669125137,Male,0,No,No
77852892205,Female,1,Yes,No
68018242283,Female,1,No,No
53584143802,Male,0,Yes,No
42498182926,Male,1,Yes,No
92299590064,Male,0,Yes,Yes
10943969077,Female,0,No,No
78447364704,Male,0,Yes,No
10276773551,Male,1,Yes,No
92555625844,Female,0,No,No
81537147323,Female,0,No,No
21046963210,Female,0,Yes,No
59532787720,Female,1,No,No
47016873323,Female,0,No,No
95004797455,Female,1,Yes,No
80162456506,Male,1,Yes,No
6098358400,Male,0,Yes,No
16878499194,Male,0,Yes,No
21655852361,Male,0,Yes,Yes
98680002542,Female,0,Yes,Yes
78729825954,Female,1,Yes,No
52694958800,Male,1,Yes,No
87947055181,Female,0,Yes,No
69409749972,Male,0,Yes,No
30972896236,Female,0,No,No
30913075655,Female,0,Yes,No
26368970200,Male,0,Yes,No
83857865202,Female,0,Yes,Yes
78585497319,Female,0,Yes,No
34843443778,Male,1,Yes,No
57584419887,Female,0,Yes,Yes
66524041500,Male,0,Yes,No
74733848480,Male,0,Yes,No
21993308342,Female,1,Yes,No
30165712007,Female,0,No,No
82677345463,Female,0,Yes,Yes
1938026276,Female,0,Yes,No
6724004993,Male,0,Yes,No
91547887222,Male,0,Yes,No
87431527403,Female,0,Yes,No
20549329650,Female,0,Yes,Yes
68516122751,Female,1,Yes,No
53046374534,Male,1,No,No
49904530181,Female,0,Yes,No
74268414568,Male,0,Yes,Yes
93327279535,Female,0,Yes,Yes
68783391894,Male,0,No,No
78519108890,Female,0,Yes,No
39822587155,Female,0,Yes,No
39718707247,Female,0,Yes,Yes
86790874089,Female,0,Yes,No
64039106555,Male,0,No,No
18017046278,Female,0,Yes,Yes
26567661844,Male,0,No,No
25128682307,Male,0,Yes,Yes
478686358,Male,0,No,Yes
37524310676,Female,0,Yes,No
90331190729,Male,0,No,No
90306738341,Female,0,Yes,No
2843959942,Female,0,Yes,No
53428364414,Female,1,Yes,No
8926870537,Female,0,Yes,Yes
68566246209,Female,0,Yes,Yes
87334270894,Male,1,No,No
66882634327,Female,0,Yes,Yes
51751830446,Male,0,Yes,No
69901398380,Female,1,No,No
73540331700,Female,0,Yes,No
39363854671,Male,0,No,No
78544587747,Female,0,Yes,No
17535560903,Male,1,Yes,Yes
32048996400,Female,0,No,No
23536937845,Male,1,Yes,No
54777252221,Female,1,Yes,No
87280801064,Female,0,Yes,Yes
6231203808,Female,0,Yes,Yes
75099770029,Female,0,Yes,No
88600848490,Female,1,Yes,No
8621182394,Female,0,Yes,Yes
39845461573,Male,0,Yes,Yes
67933410146,Male,0,No,No
66687002171,Male,0,Yes,No
76591803394,Male,0,Yes,No
97401489058,Female,0,Yes,No
25039261420,Female,0,Yes,No
29396856223,Male,1,Yes,No
18501631540,Male,0,Yes,No
99965047782,Male,0,No,No
35866296136,Male,1,Yes,Yes
94311426275,Male,0,No,No
65511047546,Male,0,Yes,Yes
41212678850,Male,0,Yes,No
86101581950,Male,1,Yes,No
95604661864,Female,1,No,No
39826224413,Female,0,Yes,Yes
47212646407,Male,0,Yes,No
71543799361,Female,0,No,No
71240659687,Female,0,Yes,Yes
57569245903,Male,0,Yes,Yes
37526547916,Male,0,Yes,No
35646519349,Male,0,No,No
98280737499,Female,0,Yes,Yes
16724342627,Male,0,Yes,Yes
61797968823,Female,1,No,No
68058911321,Male,0,No,No
52909656101,Female,1,No,No
1438889941,Female,1,No,No
37567982595,Female,1,Yes,No
7146112551,Female,1,No,No
45738757190,Male,0,No,No
77514010521,Female,0,No,No
12382825804,Male,0,No,No
67362266006,Female,0,Yes,No
93796603327,Male,0,No,No
41918255342,Male,0,Yes,No
71478596937,Female,0,Yes,Yes
69155792499,Male,0,No,No
99125134108,Male,0,No,No
25286692915,Female,1,Yes,Yes
66278282780,Male,0,No,No
42257905091,Female,0,No,No
72368876766,Male,0,Yes,No
67721903432,Male,0,Yes,Yes
4384279710,Male,0,Yes,No
88191485877,Female,0,Yes,No
7836134075,Male,0,Yes,No
74517133931,Female,1,Yes,No
59629233088,Female,0,No,No
95849825401,Female,0,No,No
49481260470,Male,1,Yes,No
22325367266,Female,0,Yes,No
94667116870,Female,0,Yes,Yes
45775901746,Female,0,Yes,Yes
51863637400,Female,0,Yes,Yes
54589297566,Female,1,Yes,Yes
170127753,Female,0,No,No
6324241505,Female,1,No,No
41520643667,Female,0,No,No
11037129342,Male,1,Yes,No
87005162790,Male,0,Yes,Yes
13611155489,Male,0,Yes,No
26221890950,Male,0,Yes,No
27532697347,Male,1,Yes,Yes
11219656526,Female,1,Yes,No
23413899961,Male,1,Yes,No
40438983637,Female,0,Yes,No
40376137940,Female,0,No,No
18055269602,Female,0,Yes,Yes
58271091000,Male,1,No,No
43006848632,Female,1,Yes,No
66188924146,Male,1,No,No
41832856909,Female,0,No,No
14630316108,Male,0,Yes,No
79904210209,Female,1,No,No
2758842521,Female,0,No,No
24105648101,Male,0,Yes,No
49177850734,Female,1,No,No
92524191362,Male,0,No,Yes
80003075613,Female,0,Yes,Yes
22086353618,Male,0,No,No
54195180236,Female,0,Yes,No
38061744589,Male,0,No,No
18705349486,Male,0,No,No
93759738320,Female,0,No,Yes
20603850596,Female,0,No,No
6413836733,Female,0,No,No
2410386504,Female,0,No,No
71918261938,Female,0,Yes,No
90623445697,Female,0,Yes,Yes
55743132941,Male,0,No,No
12127756193,Female,1,Yes,No
85374741187,Female,0,No,No
24903521303,Male,0,No,No
56804420608,Female,0,No,No
78831712160,Female,0,Yes,No
323651950,Female,0,No,No
94101372179,Male,0,No,No
51070296635,Female,0,No,No
70662532481,Male,1,No,No
47209993444,Male,0,Yes,Yes
76870146268,Female,0,Yes,No
63838065727,Female,0,No,No
87598564248,Male,0,No,No
5930407835,Male,1,Yes,No
59321334815,Male,0,Yes,No
3965223941,Male,0,Yes,No
55905992967,Female,0,No,No
37842701075,Female,1,Yes,No
39308705929,Male,0,Yes,No
32525002997,Male,0,Yes,Yes
21851569189,Female,0,Yes,No
54522675224,Female,0,Yes,Yes
89539264405,Male,0,Yes,No
22096902932,Female,1,No,No
59391725120,Male,0,Yes,Yes
35521570420,Female,0,Yes,Yes
33154100628,Male,0,Yes,Yes
76267658694,Female,0,Yes,No
17932710464,Male,0,No,No
5411526299,Male,0,Yes,Yes
18159970609,Male,0,Yes,No
29620153367,Male,0,Yes,Yes
68844431033,Male,0,Yes,No
69872050600,Female,0,Yes,Yes
14973103268,Male,0,No,No
41714677486,Female,0,Yes,No
18625652794,Male,0,Yes,Yes
4774349089,Male,0,Yes,Yes
21158693893,Female,1,No,No
6868793766,Female,0,No,Yes
41608989984,Male,0,Yes,No
21722332000,Female,1,Yes,No
61632945134,Male,0,Yes,Yes
16868548702,Female,0,No,No
9986162220,Male,1,No,No
99911914887,Female,0,Yes,No
56467997085,Female,1,No,No
24629960600,Female,1,Yes,No
53074505400,Female,0,No,No
44713247561,Male,1,Yes,No
46913736754,Female,1,Yes,No
85082148630,Male,0,No,Yes
28902330303,Female,0,Yes,Yes
7053457850,Male,1,Yes,No
61035797240,Female,1,Yes,No
79855241428,Male,1,No,No
6029333313,Male,0,Yes,Yes
46800722960,Female,0,Yes,No
3494466521,Male,1,Yes,Yes
74374896945,Male,0,Yes,No
10858994461,Female,0,Yes,No
17154544481,Male,1,Yes,No
32830965205,Male,0,No,No
7446660902,Male,0,No,No
93538758468,Male,0,No,No
28241724870,Female,0,Yes,Yes
25135346546,Male,1,Yes,No
54947170972,Female,0,No,No
99173816868,Male,0,Yes,No
46022356970,Female,1,Yes,No
72521752517,Female,0,Yes,No
743292782,Male,0,Yes,Yes
12966667605,Male,0,Yes,Yes
835058301,Female,1,Yes,No
335421636,Male,0,Yes,No
89421044797,Female,0,No,No
89856257565,Male,0,Yes,Yes
32603323083,Female,0,Yes,No
98215064884,Female,0,Yes,Yes
90901001643,Male,0,Yes,Yes
76184723006,Female,1,Yes,No
46184992651,Male,0,No,No
18914117308,Female,1,No,No
93483564292,Female,0,No,No
8737530038,Female,0,No,Yes
11972181149,Female,1,Yes,No
43744701239,Female,1,Yes,No
4556110092,Male,0,Yes,Yes
22557941522,Female,0,Yes,No
52166746756,Male,0,No,No
62120216940,Male,0,No,No
79729659001,Male,1,Yes,No
27716701436,Female,0,Yes,No
50899358829,Male,0,No,No
91637562853,Female,0,No,Yes
90028772180,Male,0,No,No
75354083893,Female,1,No,Yes
66317797153,Female,0,Yes,Yes
77517016687,Male,0,No,No
8801994826,Male,1,Yes,No
83755037548,Female,0,No,Yes
89975711332,Male,0,No,No
5548851071,Female,0,Yes,No
27261493325,Male,0,Yes,Yes
16373516075,Male,0,Yes,No
91779827032,Male,0,Yes,Yes
80869782908,Male,0,Yes,No
22169958606,Female,1,Yes,No
69346547227,Male,0,Yes,Yes
26984858330,Female,0,Yes,Yes
33945228883,Male,0,No,No
51587996871,Female,0,Yes,No
46081062015,Female,0,Yes,Yes
3424420409,Male,0,Yes,Yes
38057198338,Female,0,No,Yes
86384066653,Female,1,Yes,No
58004397379,Female,0,No,No
59893347297,Female,0,Yes,No
12281606430,Female,0,Yes,Yes
84229405740,Male,1,Yes,Yes
20259094706,Female,0,Yes,Yes
98515832860,Male,0,No,No
18268861509,Male,1,Yes,No
33555439855,Female,0,Yes,No
78015739942,Female,0,No,No
30561648425,Female,0,No,No
8588770407,Male,1,No,No
35811288026,Female,0,Yes,No
13361386101,Female,0,No,No
20750110287,Male,0,Yes,Yes
48193466799,Female,0,Yes,No
66506180986,Male,1,Yes,No
19015814465,Female,0,Yes,No
91476607249,Female,1,Yes,No
83268424511,Male,0,Yes,Yes
8821009980,Male,0,Yes,No
68814353638,Male,0,No,No
82223943128,Female,0,Yes,No
29087814178,Female,1,No,No
41397552379,Male,1,No,No
14913577549,Male,0,No,No
94929955653,Female,0,No,No
20533645212,Female,1,No,No
57775478187,Female,0,Yes,No
29142834155,Male,0,Yes,Yes
10809969319,Male,0,Yes,Yes
8488725680,Male,0,Yes,Yes
39427881607,Female,1,Yes,Yes
58039282756,Male,1,No,No
22992750379,Male,1,Yes,No
73145303864,Female,1,Yes,No
56770051850,Male,0,No,No
44989266501,Female,1,No,No
91846386560,Male,0,Yes,No
57790827235,Male,1,Yes,No
31843222540,Male,0,Yes,Yes
91365177718,Male,0,No,No
39260302919,Female,0,No,No
92280920255,Female,0,Yes,No
42869904193,Male,0,No,No
37977236958,Female,1,No,No
29298425716,Female,1,No,No
99136621099,Female,1,No,No
38862912781,Male,0,No,No
99088117209,Female,0,No,No
98068650814,Male,0,No,No
63765991686,Female,0,Yes,No
24731498600,Male,0,Yes,Yes
43009818092,Male,0,No,No
63565126957,Male,0,No,No
44869594692,Male,1,No,No
36887258838,Male,0,Yes,No
74495621386,Male,0,Yes,Yes
72138658970,Female,1,Yes,No
2601279656,Female,0,No,No
11435190602,Male,0,Yes,No
69849027703,Female,0,No,No
3843098875,Male,1,Yes,Yes
39205302171,Female,0,No,No
46566938044,Male,0,No,No
11848955464,Female,0,Yes,No
39376904257,Female,1,Yes,Yes
68181845102,Male,0,No,No
84894769778,Male,0,No,No
35779071420,Female,0,Yes,Yes
16335658828,Male,0,Yes,Yes
4341651820,Female,1,Yes,No
27553942340,Male,1,Yes,No
73334333310,Female,1,No,No
95211179072,Female,0,Yes,No
80759579466,Male,1,Yes,No
72846392021,Female,0,Yes,Yes
86780856223,Male,0,No,No
71875003606,Female,1,Yes,No
91559428490,Female,0,Yes,No
34795527652,Female,0,No,No
36556472980,Female,1,No,No
29314386694,Female,0,Yes,No
32270267249,Female,0,Yes,No
88574489085,Male,0,Yes,Yes
61203471785,Male,0,No,No
54558845065,Female,0,Yes,No
61593998295,Male,1,Yes,No
45587716902,Male,1,Yes,No
47225699679,Female,0,No,No
11253554412,Male,1,No,No
96475987697,Female,0,Yes,No
22023413230,Female,0,Yes,Yes
61117800695,Female,0,Yes,No
81149216417,Male,0,Yes,No
33472282002,Male,0,Yes,Yes
5577848750,Female,1,Yes,No
28299796806,Male,0,No,No
84578317471,Male,0,Yes,No
56424008276,Male,1,Yes,No
54780774020,Male,1,Yes,No
64930853656,Female,0,Yes,Yes
86632663400,Female,0,Yes,Yes
16389448490,Male,1,Yes,No
63122417936,Male,0,Yes,No
74973502006,Female,0,Yes,Yes
80214427005,Male,0,Yes,No
31207356476,Female,1,Yes,No
75705120494,Female,0,No,No
61872346006,Female,0,No,Yes
13673037102,Male,1,Yes,Yes
83764520884,Female,0,Yes,No
81474350372,Male,0,Yes,No
13650249111,Male,0,Yes,Yes
63009792530,Female,0,Yes,Yes
13271950032,Male,0,Yes,No
52812735821,Female,1,No,No
57306524020,Male,0,No,No
77848739210,Female,1,No,No
85574982170,Male,0,No,No
82744857009,Male,0,Yes,No
86209593526,Male,0,Yes,No
18638782977,Male,0,No,Yes
45651181067,Female,0,Yes,Yes
22031731068,Female,0,No,No
96789940545,Male,0,No,No
39103717011,Female,1,Yes,No
58650948073,Male,0,No,No
14138113886,Female,0,No,Yes
63383928888,Female,0,No,No
61957612223,Male,0,No,No
86852897508,Female,0,Yes,No
58556659330,Male,0,Yes,Yes
98368457718,Female,0,Yes,Yes
60049082400,Female,0,No,No
4335048890,Female,0,No,No
89921075284,Male,0,Yes,No
24593344190,Male,1,Yes,Yes
96931572733,Female,1,Yes,Yes
91940961041,Male,0,Yes,Yes
55661390602,Female,0,Yes,No
4805892595,Male,1,Yes,No
83206799821,Male,0,Yes,Yes
13646225130,Female,0,No,No
79086416870,Male,0,No,No
62278376950,Female,0,No,No
38983314664,Male,0,No,Yes
59116655303,Male,0,Yes,No
55904259727,Female,0,Yes,Yes
92703352166,Male,1,Yes,No
10392405180,Male,0,Yes,Yes
47705383322,Female,1,No,No
88487920659,Female,0,Yes,No
98042043988,Female,0,Yes,Yes
40701645105,Male,0,Yes,Yes
4636815769,Male,0,No,No
98123878036,Female,0,No,No
3845762063,Female,0,Yes,Yes
55543840489,Male,0,No,No
60843256290,Female,0,Yes,No
16893639244,Male,0,No,No
64957823227,Female,0,No,No
98324826238,Female,1,No,No
92518812512,Male,1,No,No
20566474271,Female,1,Yes,No
31220994979,Female,0,No,No
99393305102,Male,0,No,No
72897526785,Male,0,Yes,No
72233060415,Male,0,Yes,Yes
63331279730,Male,0,Yes,No
57366096571,Male,0,Yes,Yes
69998808162,Female,0,No,No
77038860844,Female,0,Yes,No
68034764485,Female,1,No,No
72649082755,Male,0,Yes,Yes
71812982674,Male,0,Yes,Yes
65702793781,Male,0,No,No
14521117589,Female,0,Yes,Yes
18689268693,Female,0,Yes,Yes
2592222081,Male,0,Yes,Yes
64474212347,Female,0,Yes,No
9407778002,Male,0,Yes,Yes
97339776753,Male,0,Yes,Yes
19903849869,Male,1,Yes,No
30220502080,Female,0,Yes,No
99451016252,Female,0,No,No
24999827999,Male,0,No,No
50145561674,Male,0,Yes,Yes
81472145887,Male,0,Yes,No
68339019880,Male,0,No,No
17946954867,Female,0,Yes,Yes
99529978766,Female,1,No,No
72934301087,Male,1,Yes,No
71396605576,Male,1,Yes,No
83034414420,Female,0,No,No
88501556971,Male,1,No,No
90235577006,Male,1,Yes,No
27278576083,Female,1,No,No
84958803939,Female,1,No,No
55124056835,Female,0,Yes,Yes
29962914507,Female,0,Yes,No
4617357416,Male,1,Yes,No
38421503189,Male,0,No,No
78078235771,Male,0,Yes,No
84521823092,Male,0,Yes,Yes
76810409190,Male,1,Yes,No
57018409489,Male,0,Yes,Yes
35334485767,Male,0,Yes,No
14224109867,Male,0,Yes,No
81385854200,Female,0,No,No
49321495819,Male,0,Yes,No
70207016046,Female,0,Yes,Yes
16629979575,Female,0,Yes,Yes
45381792131,Female,1,No,No
71747733202,Male,0,Yes,No
94562557788,Male,0,No,No
1715772482,Male,0,Yes,No
59928161518,Female,1,No,No
81487696302,Male,0,No,No
93827615356,Male,1,No,No
96695832170,Male,1,Yes,No
97199758146,Female,0,Yes,No
72461919682,Female,0,Yes,Yes
57013290203,Female,1,Yes,No
27846997300,Male,0,No,No
35494651908,Female,0,Yes,No
9862405830,Male,1,Yes,No
851403689,Male,1,Yes,No
96566668365,Male,1,Yes,No
27238656221,Female,0,No,No
42201027609,Female,0,Yes,No
21267969229,Male,0,Yes,Yes
78687653212,Male,1,Yes,No
69097384621,Male,1,No,No
89500975165,Female,0,Yes,No
97128478108,Male,0,No,No
89137189441,Female,0,Yes,No
90580778703,Male,0,No,Yes
95654420992,Female,0,Yes,Yes
49407929000,Female,1,No,No
49047128117,Male,0,No,No
44294440139,Female,1,Yes,No
92927524300,Male,1,Yes,No
72805129253,Male,0,Yes,Yes
76637239534,Male,1,No,No
4102767401,Male,0,No,No
78366742822,Male,1,No,No
60476580161,Female,1,No,No
85694544145,Male,0,No,No
49673938539,Male,1,No,No
25800106100,Male,0,No,No
81753443008,Female,0,Yes,No
9109391100,Male,0,No,No
19269212408,Female,0,Yes,No
47174654231,Female,0,No,No
14066504477,Male,0,No,No
27173962765,Male,0,No,No
12863917412,Male,1,Yes,No
10119470721,Female,1,No,No
20064256928,Female,0,No,No
8776618390,Female,1,No,No
6719855409,Male,0,Yes,No
60158517407,Female,1,No,Yes
32806346100,Female,1,Yes,No
57173203023,Male,0,No,No
93761847858,Female,0,Yes,Yes
70050506145,Female,1,Yes,No
38782931003,Female,1,Yes,No
27079032059,Male,1,No,No
20417929145,Female,0,No,No
11799313603,Female,0,Yes,Yes
56519825310,Female,0,Yes,No
9251142602,Male,0,Yes,No
25827390224,Male,0,Yes,Yes
19620710061,Male,1,Yes,Yes
21946723207,Female,0,Yes,No
48763290952,Male,0,Yes,Yes
27914560820,Male,0,Yes,Yes
33181958808,Female,0,Yes,No
37340312730,Female,0,No,No
72200543603,Female,1,No,No
45970108235,Male,1,No,No
20781137942,Male,0,Yes,No
95635315313,Male,0,Yes,Yes
13636317997,Female,0,Yes,No
70623972611,Male,1,No,No
52735435253,Male,0,Yes,No
9042177608,Male,0,Yes,No
25349292919,Male,1,Yes,No
83168739740,Male,1,Yes,No
74063356957,Male,0,Yes,Yes
39290600780,Male,0,No,No
80686717732,Male,0,No,No
31806325420,Male,0,Yes,No
31074279930,Male,0,No,No
7726257008,Female,0,Yes,Yes
16580464984,Female,0,Yes,No
89319508534,Male,0,No,No
1657905551,Male,0,Yes,No
28183253822,Male,0,No,No
17933554873,Female,0,No,No
64015577884,Female,1,Yes,No
81788479572,Male,1,Yes,No
13711624170,Female,1,No,No
12412723877,Female,1,Yes,No
4682756737,Male,1,Yes,No
4310385621,Female,0,Yes,No
95579887701,Male,0,No,No
49242437522,Male,0,Yes,Yes
40254729290,Male,0,No,No
84222231045,Male,0,No,No
59274523882,Female,0,No,No
5525782820,Female,0,Yes,Yes
41067275282,Male,1,Yes,Yes
8854749290,Female,0,Yes,Yes
97517028103,Female,0,Yes,No
40693751550,Female,1,Yes,No
9398343088,Female,1,Yes,No
18718637590,Female,0,No,No
99805626504,Male,0,No,No
65045547810,Male,1,Yes,No
13767426676,Female,0,Yes,Yes
29912347846,Male,0,No,Yes
51961064642,Male,1,Yes,No
28792326439,Female,0,No,No
87049478784,Male,1,No,No
30024471453,Male,0,Yes,No
62730147101,Male,0,Yes,Yes
95979647163,Female,0,Yes,Yes
58904290279,Male,0,Yes,No
57252045617,Male,0,No,No
50448183218,Male,1,Yes,No
19285544584,Male,0,No,Yes
18952028414,Female,0,No,No
57652132860,Male,0,No,Yes
33898881601,Male,0,No,No
71120754593,Female,0,Yes,Yes
27985240160,Female,1,Yes,No
32234232147,Female,0,Yes,No
61107603153,Female,1,Yes,No
8907140103,Male,0,No,No
40119393239,Female,0,No,No
50124955274,Male,1,No,No
89389119006,Female,0,No,No
83342801301,Female,0,Yes,Yes
87592712563,Female,0,Yes,Yes
66383615114,Male,0,No,No
71827548002,Female,0,Yes,No
15716479456,Female,0,No,No
73864631700,Male,1,Yes,No
52071678125,Female,1,Yes,No
12669121500,Female,0,Yes,Yes
35396136766,Female,1,Yes,Yes
49946579634,Male,0,No,No
78427114702,Female,0,No,No
73201017000,Male,0,Yes,No
26952499180,Male,0,Yes,Yes
18773477877,Female,0,No,No
48588006103,Male,0,Yes,No
67567700204,Male,0,No,No
84276246709,Male,0,Yes,No
19788977820,Female,0,Yes,Yes
28064796903,Female,0,No,No
54500902503,Female,0,No,No
59056165585,Male,0,No,No
65033349155,Female,0,No,No
14152085061,Male,1,No,No
76986407955,Female,0,Yes,Yes
5696591752,Female,1,Yes,No
13578529400,Female,0,No,No
56371834495,Female,0,No,No
4963919176,Female,0,Yes,Yes
95419876302,Female,0,No,No
51484685300,Male,0,Yes,Yes
66498782005,Female,1,Yes,No
82973748909,Female,0,No,No
69083572366,Female,0,No,No
24665136416,Male,0,No,No
42493631200,Female,1,Yes,No
30347786600,Male,0,Yes,No
3242044851,Male,0,No,No
20700159479,Female,0,Yes,No
